Model,Average_R2,Std_R2
Gradient Boosting,0.912968711648883,0.026686215087418308
Random Forest,0.8675239276258258,0.044492370866734784
AdaBoost,0.8488756609504519,0.04227832445920036
LassoLarsIC,0.8132440008293853,0.05510012190494642
LassoCV,0.8128192034910353,0.053861474701546494
ElasticNetCV,0.8122537490202669,0.05380178574967689
RidgeCV,0.8098312150939686,0.05670823560197966
BayesianRidge,0.8093848881311724,0.05675314756258107
Ridge,0.8082828161490825,0.05869718901563494
Lars,0.8068958502577566,0.05976436553384503
HuberRegressor,0.8001088661394421,0.0626584894651217
MLP Regressor,0.7830868155304272,0.056585635480475606
Decision Tree,0.763078364590561,0.0844052713099719
SVR (RBF Kernel),0.7159180584193182,0.05481944985790141
ElasticNet,0.1407224627070679,0.09030450749590338
Lasso,-0.08664479291571173,0.10355289918584132
LassoLars,-0.08664479291571173,0.10355289918584132
